id	カテゴリ	テキスト	タグ	重要度
BRAIN-001	実績	営業活動の提案資料作成・議事録反映・ヒアリング→提案商談の引き継ぎを自動化し、業務時間を1/3に短縮。成約率は4%向上した。	営業,自動化,成約率,業務改善	5
BRAIN-002	実績	マーケティングの特定チャネルの業務フローを半自動化。作業時間を3時間→0.5時間に短縮し、月1,000万円の売上リードに繋がるチャネルを構築。ROASは4,000%を達成。	マーケティング,自動化,ROAS,リード獲得,コスト削減	5
BRAIN-003	実績	マーケ自動化は5時間で構築。5時間の初期投資で月1,000万円のリード+ROAS4,000%。中小企業のAI導入は大掛かりである必要はない。	マーケティング,自動化,MVP,低コスト,スピード	5
BRAIN-004	実績	営業フロー全体（顧客分析→ヒアリング→提案資料→提案→追い連絡→契約書作成→送付→締結→初回ヒアリング）を自動化。1人あたり3h/日の削減×営業50名×時給2,000円=年間約3,600万円のコスト削減。	営業,自動化,コスト削減,年間3600万	5
BRAIN-005	実績	製造業の社長の頭の中の知識を全てAIに取り込み、個社ごとの「専用社長ブレインAI」を構築。社員が社長への無駄な質問をせずに済むようになり、渉外担当が交渉時に会社や工場の稼働状況をAIからすぐに取得。高速かつ高品質な意思決定を実現。	製造業,デジタルツイン,属人化解消,ナレッジ管理	5
BRAIN-006	実績	製造業の社長は繁忙期に深夜3時まで見積もり作業に追われていた。社長ブレインAI導入後、少なくとも日常の無駄な質問対応で2時間/日を削減。繁忙期（週1-2回発生）の8時間級の残業も解消。	製造業,社長の時間,見積もり,属人化解消	5
BRAIN-007	実績	マーケ業務の教育において、Notionのマニュアル+先輩からの簡単な説明だけで、インターン生が0.5時間で業務実行可能に。以前は1ヶ月かけて全体オペを理解→2-3時間で作成していたものが、週4-5日コミットする人なら2週間で自走可能に。	教育,マニュアル化,インターン,属人化解消,Notion	4
BRAIN-008	実績	SNSマーケ会社で、企業からの要件シートとインフルエンサーからの納品クリエイティブを要件通りかAIでチェック。エラー時は自動でエラーメッセージ表示。1案件2-3時間→10分+30分の目チェックに短縮。月15-20案件で月30-40時間の削減。	OCR,品質チェック,SNSマーケ,自動化,コスト削減	4
BRAIN-009	実績	kintone→GAS→Gemini→スプレッドシート→Slackの連携や、Webフォーム→自社システム→スプレッドシート/ダッシュボード反映など、APIベースのシステム連携を多数構築。Anthropicの認定を受けるレベルでAPI・MCP・フック連携を習得している。	kintone,GAS,Gemini,Slack,API連携,Anthropic	4
BRAIN-010	実績	自分自身の業務をSlackとClaude Codeに集約。Slackから自動でGoogleカレンダーに予定登録→Meetリンク取得→クライアントへメール送信。毎朝Slackに1日の予定が届く。給料関連やクライアント連絡も全てSlackに集約。	Slack,自動化,GAS,Googleカレンダー,Claude Code	4
BRAIN-011	実績	提案資料作成も自動化済み。Google Meetの文字起こし完了→Slack通知→ボタン1つで文字起こしとカレンダー予定から企業名・提案内容を自動で資料に組み込む。契約合意後は契約ボタンで必要情報入力→契約書自動送付。クライアントごとの歩留まりもSlack上で管理し、時間制限付きブックマークで成約/破談まで追跡。全てkintoneと自動連携。	提案資料,契約書,Slack,自動化,kintone,CRM	5
BRAIN-012	思想	中小企業のAI導入でよくある失敗3つ。1.要件を明確にせず導入し、適切な効果を得られない。2.社長だけが興味を持ち、社員に普及する体制がなくギャップで意味がなくなる。3.「うちはレガシーだから」と要件を詰める前に諦める。	AI導入,中小企業,失敗パターン,要件定義	5
BRAIN-013	思想	属人化がなくならない理由は2つ。1.属人化を脱するPJを立ち上げる時間・労力・リソース・ツテがない。2.属人化することで自分の希少価値が保たれるため、意図的に情報を渡さない人がいる。	属人化,組織,心理,中小企業	5
BRAIN-014	思想	AIに任せるべき業務と人間がやるべき業務の線引きはシンプル。人間がやるべき=肉体労働中心のもの。AIに任せるべき=PCのソフトやアプリで代替できるもの。	AI活用,業務改善,判断基準	4
BRAIN-015	思想	FDE（Forward Deployed Engineer）を選んだ理由。現場を見ないと、どこがエラーなのか、自動化できるところなのかわからない。ヒアリング対象者（社長）より、現場の人の方が使った時の価値提供が見えやすい。	FDE,現場,ヒアリング	5
BRAIN-016	思想	大企業コンサルとの違い。中小企業でもカスタマイズ（オーダーメイド）が可能。安価かつ、セキュリティは大手並み。他社に情報を漏らさない。	差別化,中小企業,セキュリティ,オーダーメイド	4
BRAIN-017	思想	5年後でも中小企業のAI活用はそこまで普及していないと思う。本格的な普及は10-20年後。だからこそ今、先行して支援する意味がある。	AI普及,中小企業,市場予測	3
BRAIN-018	思想	社長や責任者・役員クラスに会社のナレッジが全て溜まっている。これにより、引き継ぎ・事業承継・組織円滑化へのコストが非常に嵩む。だからデジタルツインで社長の分身を作ることが重要。	デジタルツイン,事業承継,ナレッジ管理,属人化解消	5
BRAIN-019	思想	AI導入の前に必ずやるべきこと。何が課題で、どういう業務フローで、どのくらい情報を明示できるか。要件をどこまで詰められるかが圧倒的なキモ。	要件定義,AI導入,業務フロー	5
BRAIN-020	ツール知見	GASで使えるテクニック: スクリプトプロパティ、フック（Webhook）、トリガーの3つ。GASは学びながら使い倒すスタンス。	GAS,スクリプトプロパティ,トリガー,Webhook	3
BRAIN-021	ツール知見	LLM APIを使う時のコツ。権限付与の制限を必ずつけること（IAM権限含む）。コストを把握しておくこと。どのモデルを使っているかも。APIがどの目的のために、どう作用しているかを把握しておくと、保守運用しやすい。	Gemini,API,セキュリティ,コスト管理,IAM	4
BRAIN-022	ツール知見	スプレッドシートをDB代わりに使うのは、安く簡単なMVPを作る場合に有効。フルスクラッチの自社システムかGoogleワークスペースか、商品開発の要件としてMVPをどこまで軽くできるかで判断する。	スプレッドシート,MVP,Supabase,判断基準	3
BRAIN-023	ツール知見	プログラミングが嫌い・拒絶反応が出る人にはノーコード/ローコード。面白そう・論理に強い人にはコードを書くことをお勧め。理由はAIエディタツールやClaude Codeで大体を作れるから。	ノーコード,ローコード,Claude Code,AIエディタ	3
BRAIN-024	業界知識	建設業の経営者が最も困っていること: 人材不足（施工管理技士・積算士）、財務面でのサポート不足、採用難。	建設業,人材不足,採用,財務	4
BRAIN-025	業界知識	製造業でAIが解決できると確信した瞬間。社長の頭の中にある全ての知識を社長だけが持っている状態を見た時。	製造業,属人化,デジタルツイン	4
BRAIN-026	業界知識	中小企業あるある10選。1.社長が全部やっている 2.紙・Excel・FAXが現役 3.属人化が経営リスク 4.採用できない・定着しない 5.請求・入金管理がザル 6.見積が勘と経験 7.情報が散在 8.IT投資に踏み切れない 9.法令・届出対応が後手 10.忙しいのに儲からない	中小企業,あるある,属人化,人材,DX	5
BRAIN-027	失敗談	AI導入で失敗したケース: 導入したが効果がわからなかった。原因は要件を適切に定めていなかったこと。そして社内に浸透しなかった。	AI導入,失敗,要件定義,社内浸透	4
BRAIN-028	失敗談	クライアントとのコミュニケーションで失敗。ヒアリングして業務を理解しシステム化したが、現場の人は全く違うことを言っていた。ニーズが違った。だからこそ現場に行くFDEスタイルに辿り着いた。	FDE,ヒアリング,失敗,現場,コミュニケーション	5
BRAIN-029	失敗談	作った自動化が使われなかった経験がある。営業ツールでも同様。結局、現場の人とのコミュニケーションをどこまでできるかが全て。	自動化,失敗,現場,コミュニケーション	4
BRAIN-030	顧客の声	クライアントから最も嬉しかった言葉: 「あなたのプロダクトのおかげで利益が上がった」「事業が推進した」「社員のモチベが上がった」「生産性が上がった」	顧客の声,成果,信頼	4
BRAIN-031	フレームワーク	AI導入を勧めない判断基準: AIにお金をかける気が全くない人。人材不足と言いながら人材の代わりになるお金には投資できない人。AI使う方が悪だと思う人。	判断基準,AI導入,顧客選定	4
BRAIN-032	フレームワーク	クライアントへの提案で必ず伝えること:「現場の人と必ずコミュニケーションを取りたいので、現場まで行きます」。これがFDEの根幹。	FDE,現場,提案,コミュニケーション	5
BRAIN-033	フレームワーク	自分の強みを一言で:「現場の理解と寄り添いをしつつ、経営の観点と開発の観点を両方兼ね備えた、社長にとっての最強のNo.2」	自己紹介,FDE,強み,No.2	5
BRAIN-034	フレームワーク	PREP法を基本にしつつ、論理による整合性と感情での訴えを意識。相手の頭にジャーニーマップ的な流れを意識させるプレゼンスタイル。	PREP,プレゼン,論理,感情,ジャーニーマップ	3
BRAIN-035	フレームワーク	属人化解消の7ステップ: 1.訪問先の現状ヒアリング（全貌と目的の把握） 2.現場の状況を聞く（課題と実際の業務を把握） 3.要件定義 4.訪問先に確認 5.実装 6.現場の人が使えるまでサポート 7.現場が触れるようになる→属人化が消える	属人化解消,フレームワーク,ステップ,FDE	5
BRAIN-036	フレームワーク	「5分ルール」: わからなければ5分考えて、それでもわからなければ質問する。これを徹底することで、インターン生が2週間で自走可能になった。	教育,5分ルール,自走,マネジメント	4
BRAIN-037	思想	AIは良くも悪くも使い方次第で成果に出る。売上向上・経費削減・従業員のフラストレーションを溜めないUX・マネジメント。全て1つ1つに意味合いと仮説を丁寧に検証する。でも素早く。全ての業界のNo.1ペインをNo.1に解決する。	AI活用,仮説検証,業界,ビジョン	5
BRAIN-038	思想	SNSマネタイズ目標: 月100万円。BPO事業: 年間1,000億円。「絶対できる」という確信を持っている。	目標,マネタイズ,BPO,ビジョン	3
BRAIN-039	思想	SNSで絶対にやらないこと: 相手の誹謗中傷、ネガティブ的な発言。	SNS,ポリシー,発信方針	3
BRAIN-040	思想	SNSの発信トーンは堅め。プロフェッショナルな印象を維持する。	SNS,トーン,発信方針	2
BRAIN-041	思想	最終目標:「AIでのBPO、AIでの業務改善は杉本雄飛にお願いしたい」という状態を作ること。	ブランディング,ビジョン,ポジショニング	4
BRAIN-042	実績	24歳、東京在住。AI企業の役員。元総合コンサル企業の経営企画。	プロフィール,自己紹介	3
BRAIN-043	実績	建設業向け積算BPOの完全自動化と、製造業向け見積もりBPOの完全自動化に現在取り組んでいる。	建設業,製造業,BPO,積算,見積もり,進行中	4
BRAIN-044	フレームワーク	教育のベストプラクティス: 基本はNotionなどの活字を読んで動く→5分ルールで質問。最初は時間がかかるが、この方式で教育すると自走力がつく。	教育,Notion,5分ルール,マニュアル	3
